159,  0.61719 0.011230 -0.048340 1.012695 0.125000 3.437500 -0.562500 0.214844 0.041016 -0.441406;
160,  0.62109 0.019043 -0.063965 1.009277 0.312500 3.875000 -0.437500 0.212402 0.041016 -0.446289;
161,  0.62500 0.019043 -0.048340 1.005371 0.312500 4.062500 -0.750000 0.212402 0.041016 -0.446289;
162,  0.62891 0.003418 -0.060059 0.985840 0.562500 4.187500 -0.812500 0.212402 0.041016 -0.446289;
163,  0.63281 0.015137 -0.040527 0.993652 1.000000 4.250000 -1.187500 0.222656 0.033691 -0.443848;
164,  0.63672 0.026855 -0.024902 1.020508 1.000000 4.562500 -1.250000 0.222656 0.033691 -0.443848;
165,  0.64062 0.000000 -0.048340 1.001465 1.625000 4.500000 -1.500000 0.222656 0.033691 -0.443848;
166,  0.64453 0.007324 -0.056152 1.016602 1.937500 4.562500 -1.187500 0.222656 0.033691 -0.443848;
167,  0.64844 0.019043 -0.063965 1.009277 1.625000 5.000000 -1.000000 0.212402 0.041016 -0.443848;
168,  0.65234 0.019043 -0.048340 1.005371 1.562500 5.312500 -1.187500 0.212402 0.041016 -0.443848;
169,  0.65625 -0.016113 -0.040527 0.989746 1.625000 5.562500 -1.125000 0.212402 0.041016 -0.443848;
170,  0.66016 0.000000 -0.040527 1.020508 1.562500 5.750000 -0.812500 0.217773 0.041016 -0.446289;
171,  0.66406 -0.020020 -0.036621 1.012695 1.437500 5.750000 -0.812500 0.217773 0.041016 -0.446289;
172,  0.66797 0.003418 -0.052246 1.012695 1.125000 6.125000 -0.625000 0.217773 0.041016 -0.446289;
173,  0.67188 -0.007812 -0.056152 0.974121 1.250000 6.125000 -0.687500 0.212402 0.038574 -0.446289;
174,  0.67578 0.003418 -0.075684 1.009277 0.562500 6.500000 -0.187500 0.212402 0.038574 -0.446289;
175,  0.67969 0.003418 -0.060059 1.001465 -0.062500 6.812500 -0.437500 0.212402 0.038574 -0.446289;
176,  0.68359 -0.003906 -0.067871 1.005371 -0.562500 8.312500 -0.875000 0.212402 0.038574 -0.446289;
177,  0.68750 0.000000 -0.040527 1.012695 -1.000000 7.562500 0.062500 0.217773 0.043457 -0.441406;
178,  0.69141 -0.016113 -0.060059 1.001465 -0.687500 7.687500 0.250000 0.217773 0.043457 -0.441406;
179,  0.69531 -0.003906 -0.044434 0.981934 0.500000 7.062500 0.000000 0.217773 0.043457 -0.441406;
180,  0.69922 0.003418 -0.060059 0.978027 1.562500 6.125000 0.187500 0.220215 0.033691 -0.446289;
181,  0.70312 -0.012207 -0.044434 1.009277 1.750000 5.375000 0.000000 0.220215 0.033691 -0.446289;
182,  0.70703 0.003418 -0.044434 0.981934 1.687500 4.875000 0.000000 0.220215 0.033691 -0.446289;
183,  0.71094 -0.016113 -0.056152 0.989746 1.437500 4.875000 0.000000 0.220215 0.033691 -0.446289;
184,  0.71484 -0.016113 -0.067871 0.978027 1.750000 4.562500 -0.250000 0.220215 0.033691 -0.446289;
185,  0.71875 -0.003906 -0.067871 0.993652 2.125000 4.312500 -0.500000 0.220215 0.033691 -0.446289;
186,  0.72266 -0.012207 -0.056152 0.981934 2.375000 3.937500 -0.312500 0.220215 0.033691 -0.446289;
187,  0.72656 -0.012207 -0.063965 0.974121 2.375000 4.000000 -0.062500 0.217773 0.033691 -0.443848;
188,  0.73047 -0.012207 -0.052246 0.993652 2.125000 4.062500 0.000000 0.217773 0.033691 -0.443848;
189,  0.73438 -0.023926 -0.071777 1.016602 2.125000 4.000000 -0.250000 0.217773 0.033691 -0.443848;
190,  0.73828 -0.031738 -0.032715 1.001465 2.125000 3.875000 -0.062500 0.212402 0.028809 -0.436035;
191,  0.74219 -0.016113 -0.060059 1.001465 1.937500 3.812500 -0.125000 0.212402 0.028809 -0.436035;
192,  0.74609 -0.016113 -0.071777 1.001465 2.312500 3.812500 0.187500 0.212402 0.028809 -0.436035;
193,  0.75000 -0.012207 -0.052246 0.985840 2.437500 4.062500 0.625000 0.212402 0.028809 -0.436035;
194,  0.75391 0.011230 -0.060059 0.985840 1.750000 3.937500 0.625000 0.214844 0.041016 -0.441406;
195,  0.75781 0.019043 -0.075684 0.993652 1.125000 3.812500 0.437500 0.214844 0.041016 -0.441406;
196,  0.76172 0.003418 -0.075684 0.978027 0.937500 3.562500 0.562500 0.214844 0.041016 -0.441406;
197,  0.76562 -0.003906 -0.044434 1.009277 0.062500 2.562500 0.750000 0.212402 0.033691 -0.441406;
198,  0.76953 0.019043 -0.060059 0.993652 -0.062500 1.687500 0.625000 0.212402 0.033691 -0.441406;
199,  0.77344 0.000000 -0.044434 1.001465 -0.062500 0.750000 0.312500 0.212402 0.033691 -0.441406;
200,  0.77734 -0.016113 -0.060059 0.985840 0.812500 0.062500 0.250000 0.212402 0.033691 -0.441406;
201,  0.78125 -0.023926 -0.044434 1.016602 1.250000 -0.125000 0.000000 0.212402 0.033691 -0.441406;
202,  0.78516 -0.027832 -0.048340 1.005371 1.562500 -0.437500 -0.125000 0.212402 0.033691 -0.441406;
203,  0.78906 -0.020020 -0.032715 0.989746 2.312500 -1.000000 -0.125000 0.212402 0.033691 -0.441406;
204,  0.79297 -0.007812 -0.024902 0.981934 2.875000 -0.937500 -0.500000 0.214844 0.033691 -0.441406;
205,  0.79688 0.000000 -0.032715 0.985840 3.375000 -1.187500 -0.812500 0.214844 0.033691 -0.441406;
206,  0.80078 0.003418 -0.052246 1.012695 3.562500 -1.000000 -0.625000 0.214844 0.033691 -0.441406;
207,  0.80469 -0.027832 -0.052246 0.978027 2.750000 -0.375000 -0.625000 0.214844 0.038574 -0.433594;
208,  0.80859 0.003418 -0.044434 1.009277 2.312500 -0.187500 -0.500000 0.214844 0.038574 -0.433594;
209,  0.81250 -0.020020 -0.056152 1.001465 2.437500 -0.250000 -0.500000 0.214844 0.038574 -0.433594;
210,  0.81641 -0.027832 -0.040527 0.985840 2.250000 -0.125000 -0.500000 0.214844 0.038574 -0.433594;
211,  0.82031 -0.003906 -0.048340 0.974121 1.562500 -0.437500 -0.187500 0.214844 0.036133 -0.438477;
212,  0.82422 -0.012207 -0.056152 1.001465 1.312500 -0.187500 -0.125000 0.214844 0.036133 -0.438477;
213,  0.82812 -0.003906 -0.056152 0.978027 0.937500 -0.500000 0.125000 0.214844 0.036133 -0.438477;
214,  0.83203 -0.012207 -0.048340 0.985840 1.250000 -0.937500 0.062500 0.214844 0.033691 -0.446289;
